batch_size,duration
1,0.0922427177429199
10,0.2072584629058838
20,0.3558721542358398
50,0.8018982410430908
100,1.5001749992370603
150,2.098188161849976
200,2.732212781906128
250,3.369929790496826
300,4.053663969039917
350,4.5876946449279785
400,5.45093297958374
700,9.373502016067505
1000,14.49316668510437
1200,15.48858642578125
1700,22.02971339225769
2500,33.59748411178589
3000,39.76123332977295
3500,47.892165184021
4000,55.11891841888428
5000,69.51203227043152
10000,145.43288683891296
15000,208.5263609886169
22000,310.8556203842163
