batch_size,duration
10,0.1279773712158203
20,0.5150330066680908
50,0.9153454303741456
100,1.5713934898376465
150,2.2083256244659424
200,3.01442813873291
250,4.1864845752716064
300,4.522312641143799
350,5.626184463500977
400,6.041417121887207
700,11.18940567970276
1000,12.862243413925173
1200,17.615581274032593
1700,23.818373203277588
2500,39.8341588973999
3000,45.12383365631104
3500,57.899442195892334
4000,66.84405064582825
5000,84.28022146224976
10000,180.49973273277283
15000,301.5407962799072
